episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,24,0,0,4000,4000,4000,4000,4000,4000,195.83329724562503,195.83329724562503,4000,4000,4000,False,0,1,bec7c_00000,2025-04-27_08-37-13,1745743033,20.43236494064331,20.43236494064331,930341,150-136-94-220,10.19.89.17,20.43236494064331,1,4000,4000,4000,4000,nan,nan,nan,nan,0,0,[],[],20425.448,16741.811,22.241,179845.166,3527.543,1133.934,131.042,4000,4000,4000,4000,60.69655172413792,12.431034482758617,[],[],155.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.26389194621193796,-0.01839391172773415,0.009210709530132942,-0.04020241921947849,0.007307118612202344,25.61701749986218,0.01
nan,nan,nan,nan,0,0,24,0,0,8000,8000,8000,8000,4000,4000,213.20814913067997,213.20814913067997,8000,4000,8000,False,0,2,bec7c_00000,2025-04-27_08-37-32,1745743052,18.76795244216919,39.2003173828125,930341,150-136-94-220,10.19.89.17,39.2003173828125,2,8000,8000,8000,8000,nan,nan,nan,nan,0,0,[],[],19593.215,15945.161,264.276,15135.69,3293.664,1214.453,87.176,8000,8000,8000,8000,52.8925925925926,12.274074074074074,[],[],465.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.2672619631093356,-0.02067115958179197,0.009085350569371405,0.003896954559510754,0.007240445420041309,25.712424911991242,0.01
nan,nan,nan,nan,0,0,24,0,0,12000,12000,12000,12000,4000,4000,222.01832905310303,222.01832905310303,12000,4000,12000,False,0,3,bec7c_00000,2025-04-27_08-37-50,1745743070,18.023032903671265,57.223350286483765,930341,150-136-94-220,10.19.89.17,57.223350286483765,3,12000,12000,12000,12000,nan,nan,nan,nan,0,0,[],[],19067.642,15430.863,343.72,11637.394,3218.455,1242.833,71.657,12000,12000,12000,12000,53.79599999999999,12.927999999999999,[],[],775.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.26969449481656477,-0.020053409550699494,0.007761098271951214,-0.0802548223926175,0.0075620423358864295,25.89145997570407,0.01
nan,nan,nan,nan,0,0,24,0,0,16000,16000,16000,16000,4000,4000,222.93297109616964,222.93297109616964,16000,4000,16000,False,0,4,bec7c_00000,2025-04-27_08-38-08,1745743088,17.94924783706665,75.17259812355042,930341,150-136-94-220,10.19.89.17,75.17259812355042,4,16000,16000,16000,16000,nan,nan,nan,nan,0,0,[],[],18786.377,15135.275,382.497,10457.591,3201.366,1249.466,64.293,16000,16000,16000,16000,52.312000000000005,13.38,[],[],1085.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.27622695542691694,-0.023231758615903316,0.005476945774928261,0.06609929030941379,0.006329827401162718,25.973811531066893,0.01
nan,nan,nan,nan,0,0,24,0,0,20000,20000,20000,20000,4000,4000,220.74481977378665,220.74481977378665,20000,4000,20000,False,0,5,bec7c_00000,2025-04-27_08-38-26,1745743106,18.12756896018982,93.30016708374023,930341,150-136-94-220,10.19.89.17,93.30016708374023,5,20000,20000,20000,20000,nan,nan,nan,nan,0,0,[],[],18653.19,15001.557,406.55,9838.893,3182.256,1256.97,59.848,20000,20000,20000,20000,51.223076923076924,13.68846153846154,[],[],1395.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.27437075258142524,-0.02169711000376171,0.0056294259911913785,-0.1032871590506646,0.007488266761391705,25.980072685980026,0.01
18.879999999999914,15.57500000000003,17.587499999999988,900.0,24,0,24,0,0,24000,24000,24000,24000,4000,4000,218.71498537384366,218.71498537384366,24000,4000,24000,False,24,6,bec7c_00000,2025-04-27_08-38-45,1745743125,18.298920154571533,111.59908723831177,930341,150-136-94-220,10.19.89.17,111.59908723831177,6,24000,24000,24000,24000,18.879999999999914,15.57500000000003,17.587499999999988,900.0,24,0,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18592.425,14916.132,438.85,9114.741,3177.373,1258.902,57.085,24000,24000,24000,24000,54.232,13.516000000000002,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",1705.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.27601065959052873,-0.021153801457295493,0.0043806276062593585,0.024037465164738318,0.009034291004800351,26.104434868597217,0.01
18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,24,0,0,28000,28000,28000,28000,4000,4000,218.84542854325682,218.84542854325682,28000,4000,28000,False,24,7,bec7c_00000,2025-04-27_08-39-03,1745743143,18.28484082221985,129.88392806053162,930341,150-136-94-220,10.19.89.17,129.88392806053162,7,28000,28000,28000,28000,18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18547.465,14864.786,448.197,8924.657,3176.644,1259.19,54.831,28000,28000,28000,28000,54.465384615384615,13.28846153846154,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",2015.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.2739769931161596,-0.016743153039245836,0.00364379208044885,-0.004046118067156884,0.0071616803830341184,26.230997368597215,0.01
18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,24,0,0,32000,32000,32000,32000,4000,4000,216.73180271089666,216.73180271089666,32000,4000,32000,False,24,8,bec7c_00000,2025-04-27_08-39-21,1745743161,18.464141845703125,148.34806990623474,930341,150-136-94-220,10.19.89.17,148.34806990623474,8,32000,32000,32000,32000,18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18536.027,14856.05,455.756,8776.622,3167.605,1262.784,53.593,32000,32000,32000,32000,54.03076923076923,13.48076923076923,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",2325.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.2811808864150437,-0.02409440621493324,0.004339548773620458,0.0038986311804863716,0.006338494363283263,26.269373339991414,0.01
18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,24,0,0,36000,36000,36000,36000,4000,4000,219.89864005117803,219.89864005117803,36000,4000,36000,False,24,9,bec7c_00000,2025-04-27_08-39-40,1745743180,18.196864366531372,166.5449342727661,930341,150-136-94-220,10.19.89.17,166.5449342727661,9,36000,36000,36000,36000,18.879999999999914,15.57500000000003,17.587499999999988,900.0,0,0,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18497.598,14812.427,460.755,8681.4,3169.153,1262.167,52.251,36000,36000,36000,36000,54.163999999999994,13.588,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",2635.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.2768762298409016,-0.018687431406109564,0.004190969822188743,0.06831630968278454,0.009321134289137027,26.424399825065368,0.01
18.879999999999914,15.57500000000003,17.570279999999993,894.16,1,0,24,0,0,40000,40000,40000,40000,4000,4000,216.50876605310143,216.50876605310143,40000,4000,40000,False,25,10,bec7c_00000,2025-04-27_08-39-58,1745743198,18.482781410217285,185.0277156829834,930341,150-136-94-220,10.19.89.17,185.0277156829834,10,40000,40000,40000,40000,18.879999999999914,15.57500000000003,17.570279999999993,894.16,1,0,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999, 17.157000000000103]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 754]",18495.335,14807.874,464.934,8603.37,3167.813,1262.701,51.63,40000,40000,40000,40000,52.25384615384615,13.64230769230769,"[15.825000000000124, 17.744999999999973, 17.539999999999992, 18.284999999999943, 17.834999999999987, 18.399999999999924, 18.129999999999967, 16.76000000000005, 18.3249999999999, 16.855000000000043, 18.48499999999993, 18.66499999999996, 17.98499999999997, 17.51500000000001, 15.57500000000003, 18.879999999999914, 17.08500000000001, 17.609999999999975, 17.954999999999973, 17.849999999999984, 17.63999999999999, 16.09000000000012, 17.304999999999986, 17.75999999999999, 17.157000000000103]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 754]",2945.5,154.5,0.19999999999999998,3.0000000000000004e-05,-0.2698374289658762,-0.013057765271514653,0.005165990627691856,-0.05039468734495101,0.008905677861559375,26.37267931661298,0.01
